combined_weather_SLA_wind_U_W6,combined_weather_SLA_wind_V_W6,combined_weather_SLA_pressure_W6,combined_weather_SLA_wind_U_W9,combined_weather_SLA_wind_V_W9,combined_weather_SLA_pressure_W9,combined_weather_SLA_wind_U_W10,combined_weather_SLA_wind_V_W10,combined_weather_SLA_pressure_W10,combined_weather_SLA_wind_U_OSC2_1,combined_weather_SLA_wind_V_OSC2_1,combined_weather_SLA_pressure_OSC2_1,combined_weather_SLA_wind_U_SCS_500,combined_weather_SLA_wind_V_SCS_500,combined_weather_SLA_pressure_SCS_500,combined_weather_SLA_wind_U_Singapore,combined_weather_SLA_wind_V_Singapore,combined_weather_SLA_pressure_Singapore,combined_weather_SLA_SLA
-5.435254088,-2.920146955,101113.7977,-4.362344814,1.261834461,101298.335,-4.51426987,-2.623235663,101205.0579,0.076234356,-5.672388202,100988.9713,-4.392169529,-4.588884791,101020.2706,0.397908205,-3.26065431,100978.5838,0.11250535105487991
-5.142430831,-2.953356585,101032.8202,-4.074053828,1.278255424,101204.8104,-4.235838859,-2.357367957,101114.5737,0.209361012,-5.319701813,100956.5257,-4.037370219,-4.27715711,100981.0896,0.81581082,-1.572163211,100942.1019,0.11315864819941002
-4.799613358,-2.986566215,100986.6213,-3.681857964,1.249792422,101131.1315,-3.818192343,-2.392135272,101038.8943,0.150339341,-5.112796291,100890.5833,-3.601481832,-4.118157176,100913.5948,0.575730826,-0.340783316,100862.0298,0.084025647
-4.625653897,-3.010579332,100948.0055,-3.348521511,1.08831962,101085.2648,-3.562609678,-2.539385079,101018.9811,0.672571823,-5.116526903,100844.7279,-2.986810017,-4.13509208,100813.979,-0.979925277,-1.977922575,100830.3996,0.10872558068569016
-4.646569844,-2.965618602,100900.497,-3.125095996,0.76975294,101064.2407,-3.389918689,-2.77389403,101011.2713,0.20061706,-5.290143881,100736.0474,-2.90821173,-4.304441122,100743.7489,-1.278371559,-3.320786518,100715.8953,0.094013149
-4.679219127,-2.988609884,100899.888,-3.13710812,0.346639464,101087.6218,-3.365476272,-2.889103369,101050.1043,-0.455397873,-5.163876988,100657.6174,-3.311443083,-4.42831681,100725.9327,-1.104440023,-4.525293169,100662.0939,0.007501231
-3.978789976,-2.867011547,100937.7424,-2.797164998,0.318723827,101176.9981,-3.006279014,-2.662093251,101163.245,0.152088132,-4.036084059,100695.3752,-2.835425289,-3.88922236,100763.3579,0.458609144,-2.134904887,100740.6993,-0.012635015
-4.061433473,-3.388658195,101019.3899,-3.140111151,0.192282413,101227.6259,-3.114144463,-2.696178854,101201.8888,0.593439065,-3.652404887,100767.3493,-2.812177908,-3.942535948,100783.4659,0.481955659,-2.125060233,100764.4125,-0.000288186
-4.546581414,-3.618571017,101046.555,-3.445219112,0.100872386,101264.3003,-3.376634767,-2.588468348,101249.8034,0.508185541,-3.349077375,100854.7069,-2.83487178,-3.721127756,100828.8937,-0.195287825,-2.434767709,100844.8795,0.007986224
-5.136819235,-3.635431291,101100.1238,-3.739516162,-0.21331537,101289.3785,-3.387793261,-2.334871459,101242.6138,0.444573297,-3.599028428,100909.8772,-2.817436244,-3.392151561,100915.2027,-0.645291898,-2.387406944,100891.2717,0.001136101
-5.619926596,-3.324793522,101112.61,-4.039218667,-0.74261774,101304.6045,-3.254954039,-2.121495582,101275.8655,-0.398124993,-3.621699075,100992.0701,-2.815775717,-3.155376512,100983.9543,-0.976812409,-2.569399996,100985.899,0.047059414
-5.935196236,-3.057072814,101115.6859,-4.29147328,-1.328298749,101293.6682,-3.081731692,-2.195802197,101272.4599,-0.341070712,-3.946549354,100956.3413,-2.975463082,-2.661128197,100970.9987,-0.583812743,-2.921146803,100982.1568,0.091322941
-6.041816551,-3.300780405,101064.3098,-4.588172754,-1.888800948,101278.5836,-3.039223141,-2.690043445,101271.7977,-0.11963015,-4.112992076,100940.5704,-2.91430033,-2.558891553,100971.5162,-0.296261502,-3.294445418,100958.5376,0.031436544
-6.351474595,-3.742723941,101038.241,-4.923311026,-2.048631654,101275.9909,-3.24964047,-3.419475356,101257.5132,-0.069352431,-3.711233781,100913.6954,-3.055168387,-2.728867814,100937.9905,0.177672749,-2.790239519,100933.7712,0.044410976
-6.39942823,-3.821916136,101004.2542,-5.118508049,-1.922737605,101254.731,-3.42392553,-4.030289368,101231.2619,0.190780115,-3.517528888,100886.0457,-2.821310808,-2.578021723,100890.844,0.091874307,-3.124691664,100895.973,0.130847529
-6.169862958,-3.878627965,100984.1241,-5.374966906,-1.799580383,101245.6331,-3.64443864,-4.690186648,101226.6266,0.265759496,-3.616533611,100827.7028,-2.83487178,-2.71632344,100848.4102,0.443628463,-3.087441624,100852.2699,0.19867590794809997
-6.022431039,-4.013510154,100970.1761,-5.774370044,-1.887706217,101258.4551,-3.903740802,-5.340539959,101251.1751,0.564146829,-3.532451339,100772.4218,-3.136257464,-3.224370566,100800.5429,0.420865612,-2.88975034,100793.4664,0.21293712322647107
-5.889793326,-4.206126008,100997.798,-6.095093767,-2.118147063,101284.806,-4.386212859,-5.696393658,101285.3254,0.64983755,-3.378922276,100757.4441,-3.492163792,-3.639902938,100762.6741,0.21444351,-2.862611026,100761.5917,0.232095602
-5.043972836,-4.304222145,101027.5516,-5.674669411,-2.372671987,101350.5655,-4.456883326,-5.708664475,101344.3081,0.39385838,-3.373756813,100754.3084,-3.72353058,-3.792630685,100768.4219,0.55685906,-2.995114739,100766.8007,0.24376984845550098
-5.417909157,-4.817694115,101107.1892,-5.830827029,-2.623365354,101438.4334,-4.733188909,-5.881137628,101427.6973,-0.188707363,-3.054358968,100842.3669,-4.078606644,-3.810820026,100837.7833,0.713864372,-2.726648379,100850.1826,0.2156896313952911
-5.755625179,-5.376637732,101196.6938,-6.01341132,-2.638144221,101479.916,-5.049877616,-5.995665255,101470.1724,-0.498461832,-2.97515519,100910.781,-4.308036151,-3.915251935,100916.0159,0.480010116,-2.703234069,100926.2304,0.160366771
